Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort	     Comb Sort	 Cocktail Sort
50	26567.84	11253.37	26672.54	24497.75	46613.254	44790.1
100	47875.496	17380.75	65925.85	14905.67	50518.39	77833.02
150	79192.0	24701.19	14475.08	16341.68	61913.98	53995.04
200	135247.23	40533.266	23186.105	20762.455	102105.56	89511.04
250	287270.75	80965.8	52227.09	32813.754	249903.95	196076.8
300	357765.38	107413.22	65094.297	42834.516	271806.0	225830.84
350	448503.16	130309.0	101098.12	45469.53	332207.16	314383.88
400	587685.06	159545.48	95389.48	51271.047	425716.12	366685.88
450	648733.8	173396.38	103265.06	52586.61	456021.28	387817.7
500	801116.6	211116.7	126166.84	58443.38	555922.3	473109.7
550	968771.1	252604.05	150881.81	65996.94	668038.6	569457.2
600	1146090.2	297639.16	179575.14	73100.13	782057.25	667303.8
650	1344460.6	342901.25	211355.78	79798.45	907997.1	784411.94
700	1550348.4	394075.6	241133.58	85864.62	1052986.4	903133.5
750	1785085.0	450502.2	275616.44	93445.82	1201529.6	1038493.7
800	2098797.0	516941.75	332732.47	103047.8	1411609.2	1233412.8
850	2289946.5	560641.25	352256.47	107521.84	1520328.6	1312506.4
900	2586407.0	627100.5	399199.3	113617.68	1710382.1	1479846.1
950	2871779.8	697038.2	442053.7	122050.25	1885516.1	1642049.1
1000	3194574.5	762952.06	485372.2	129668.99	2087648.1	1825596.0
